Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
17/9/12,2:45,19.86,19.44,19.44,20.62,19.44,20.31,20.37,20.06,19.19
17/9/12,2:50,19.79,19.44,19.37,20.50,19.44,20.25,20.19,20.00,19.12
17/9/12,2:55,19.96,19.62,19.50,20.62,19.69,20.62,20.44,20.00,19.19
17/9/12,3:00,20.45,20.25,20.06,21.12,20.37,21.25,20.75,20.19,19.62
17/9/12,3:05,20.23,20.00,19.87,20.87,19.94,20.81,20.56,20.19,19.56
17/9/12,3:10,20.37,20.12,20.00,21.00,20.19,21.00,20.69,20.25,19.69
17/9/12,3:15,20.44,20.19,20.00,21.19,20.31,21.25,20.69,20.25,19.62
17/9/12,3:20,20.44,20.19,20.06,21.12,20.19,21.12,20.75,20.31,19.75
17/9/12,3:25,20.01,19.62,19.56,20.75,19.62,20.50,20.50,20.19,19.31
17/9/12,3:30,20.54,20.37,20.19,21.25,20.50,21.25,20.75,20.31,19.69
17/9/12,3:35,20.18,19.87,19.75,20.81,19.87,20.69,20.62,20.25,19.56
17/9/12,3:40,20.09,19.69,19.69,20.81,19.69,20.69,20.50,20.25,19.44
17/9/12,3:45,20.32,20.00,19.94,21.00,20.12,20.94,20.69,20.25,19.62
17/9/12,3:50,20.62,20.37,20.25,21.31,20.44,21.37,20.94,20.37,19.87
17/9/12,3:55,20.45,20.19,20.06,21.19,20.19,21.00,20.75,20.44,19.75
17/9/12,4:00,20.62,20.37,20.25,21.25,20.50,21.31,20.87,20.50,19.94
17/9/12,4:05,20.41,20.12,20.00,21.19,20.12,21.00,20.69,20.44,19.75
17/9/12,4:10,20.72,20.50,20.37,21.44,20.56,21.50,20.87,20.50,20.00
17/9/12,4:15,20.84,20.69,20.50,21.50,20.69,21.50,21.06,20.62,20.19
17/9/12,4:20,20.82,20.62,20.44,21.50,20.69,21.56,21.06,20.56,20.12
17/9/12,4:25,20.81,20.62,20.44,21.44,20.75,21.50,21.12,20.56,20.06
17/9/12,4:30,20.55,20.25,20.12,21.19,20.31,21.19,20.94,20.50,19.87
17/9/12,4:35,20.91,20.81,20.56,21.56,20.94,21.75,21.06,20.56,20.06
17/9/12,4:40,20.56,20.25,20.12,21.19,20.25,21.31,20.94,20.56,19.87
17/9/12,4:45,20.82,20.56,20.44,21.50,20.62,21.56,21.12,20.62,20.12
17/9/12,4:50,20.73,20.50,20.31,21.44,20.56,21.44,21.00,20.56,20.00
17/9/12,4:55,20.53,20.19,20.12,21.19,20.19,21.06,20.94,20.62,19.94
17/9/12,5:00,20.38,20.00,19.94,21.12,20.00,20.94,20.81,20.50,19.75
17/9/12,5:05,20.29,19.94,19.87,21.06,19.87,20.75,20.69,20.44,19.69
17/9/12,5:10,20.43,20.12,20.06,21.19,20.12,21.00,20.75,20.44,19.75
17/9/12,5:15,20.37,20.06,20.00,21.06,20.06,20.94,20.75,20.44,19.69
17/9/12,5:20,19.98,19.50,19.62,20.69,19.44,20.37,20.37,20.37,19.44
17/9/12,5:25,19.91,19.44,19.56,20.69,19.50,20.31,20.25,20.25,19.31
17/9/12,5:30,19.91,19.50,19.50,20.62,19.56,20.44,20.25,20.12,19.25
17/9/12,5:35,20.32,20.12,19.94,21.12,20.19,21.06,20.50,20.19,19.44
17/9/12,5:40,19.62,19.19,19.25,20.50,19.12,19.94,20.06,20.00,18.94
17/9/12,5:45,19.94,19.69,19.44,20.56,19.75,20.56,20.37,20.00,19.12
17/9/12,5:50,20.52,20.44,20.19,21.06,20.50,21.31,20.75,20.25,19.69
17/9/12,5:55,20.30,20.06,19.87,20.87,20.19,21.06,20.69,20.19,19.44
17/9/12,6:00,20.08,19.75,19.62,20.81,19.81,20.81,20.44,20.06,19.31
17/9/12,6:05,19.99,19.62,19.56,20.62,19.75,20.62,20.37,20.06,19.31
17/9/12,6:10,20.20,19.94,19.81,20.94,20.06,21.00,20.37,20.06,19.44
17/9/12,6:15,19.89,19.50,19.50,20.69,19.50,20.56,20.25,20.00,19.12
17/9/12,6:20,20.42,20.25,20.06,21.12,20.37,21.25,20.62,20.12,19.56
17/9/12,6:25,20.19,19.94,19.81,20.81,20.00,20.81,20.50,20.12,19.50
17/9/12,6:30,20.25,20.00,19.75,20.87,20.06,21.00,20.69,20.12,19.50
17/9/12,6:35,20.62,20.44,20.25,21.31,20.50,21.44,20.87,20.31,19.87
17/9/12,6:40,19.98,19.56,19.56,20.62,19.56,20.50,20.37,20.19,19.50
17/9/12,6:45,20.09,19.75,19.75,20.87,19.75,20.69,20.37,20.12,19.44
17/9/12,6:50,20.14,19.81,19.75,20.81,19.87,20.87,20.37,20.12,19.50
17/9/12,6:55,20.53,20.37,20.12,21.19,20.56,21.37,20.75,20.19,19.69
17/9/12,7:00,20.68,20.56,20.31,21.31,20.69,21.56,20.81,20.31,19.87
17/9/12,7:05,20.71,20.50,20.31,21.37,20.62,21.50,20.94,20.44,20.00
17/9/12,7:10,21.00,20.94,20.69,21.62,21.00,21.87,21.06,20.56,20.25
17/9/12,7:15,20.96,20.87,20.62,21.62,20.87,21.69,21.12,20.62,20.25
