Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
17/9/12,0:00,20.38,20.06,20.06,21.19,20.06,20.87,20.56,20.50,19.75
17/9/12,0:05,20.57,20.31,20.25,21.31,20.31,21.19,20.75,20.56,19.87
17/9/12,0:10,20.45,20.12,20.19,21.19,20.19,21.00,20.62,20.56,19.75
17/9/12,0:15,20.48,20.19,20.12,21.19,20.25,21.06,20.62,20.56,19.81
17/9/12,0:20,20.29,19.94,19.94,21.12,19.94,20.81,20.50,20.44,19.62
17/9/12,0:25,20.63,20.50,20.25,21.37,20.56,21.31,20.75,20.50,19.81
17/9/12,0:30,20.28,19.94,19.94,21.00,19.94,20.75,20.56,20.44,19.69
17/9/12,0:35,20.22,19.87,19.81,20.94,19.87,20.75,20.50,20.37,19.62
17/9/12,0:40,20.40,20.12,20.06,21.19,20.06,20.94,20.62,20.44,19.75
17/9/12,0:45,20.16,19.81,19.87,20.94,19.75,20.62,20.37,20.37,19.50
17/9/12,0:50,20.36,20.12,20.00,21.19,20.06,20.87,20.62,20.37,19.62
17/9/12,0:55,20.06,19.62,19.69,20.81,19.62,20.50,20.44,20.31,19.50
17/9/12,1:00,20.02,19.56,19.62,20.87,19.56,20.56,20.31,20.25,19.37
17/9/12,1:05,20.13,19.81,19.75,20.87,19.87,20.69,20.44,20.25,19.37
17/9/12,1:10,19.74,19.31,19.37,20.62,19.25,20.06,20.12,20.12,19.06
17/9/12,1:15,19.97,19.56,19.56,20.75,19.62,20.56,20.31,20.12,19.25
17/9/12,1:20,19.87,19.50,19.50,20.75,19.50,20.31,20.12,20.06,19.19
17/9/12,1:25,19.85,19.50,19.50,20.69,19.50,20.31,20.12,20.06,19.12
17/9/12,1:30,19.69,19.25,19.37,20.50,19.19,20.12,20.00,20.06,19.00
17/9/12,1:35,19.55,19.19,19.19,20.44,19.12,19.94,19.94,19.87,18.75
17/9/12,1:40,19.54,19.19,19.25,20.37,19.06,19.87,19.87,19.87,18.81
17/9/12,1:45,19.54,19.19,19.19,20.44,19.12,19.87,19.94,19.81,18.75
17/9/12,1:50,19.69,19.37,19.37,20.56,19.31,20.06,20.00,19.87,18.94
17/9/12,1:55,20.00,19.81,19.62,20.75,19.81,20.69,20.25,19.94,19.12
17/9/12,2:00,19.96,19.69,19.62,20.75,19.69,20.50,20.25,20.00,19.19
17/9/12,2:05,19.65,19.19,19.25,20.44,19.19,20.12,20.06,19.94,19.00
17/9/12,2:10,20.36,20.19,20.00,21.06,20.25,21.19,20.56,20.12,19.50
17/9/12,2:15,20.05,19.75,19.69,20.81,19.75,20.69,20.31,20.06,19.31
17/9/12,2:20,20.38,20.19,20.00,21.00,20.31,21.12,20.62,20.19,19.62
17/9/12,2:25,20.52,20.37,20.19,21.19,20.37,21.25,20.69,20.25,19.81
17/9/12,2:30,20.01,19.62,19.62,20.75,19.62,20.56,20.31,20.12,19.44
17/9/12,2:35,19.77,19.31,19.44,20.50,19.31,20.25,20.12,20.06,19.12
17/9/12,2:40,20.19,19.94,19.81,20.94,19.94,20.87,20.44,20.12,19.44
