Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
15/8/17,18:05,24.06,24.25,24.00,24.37,23.37,24.31
15/8/17,18:10,24.11,24.25,24.06,24.50,23.37,24.37
15/8/17,18:15,23.76,23.25,23.12,24.44,23.31,24.69
15/8/17,18:20,23.71,23.12,23.12,24.37,23.31,24.62
15/8/17,18:25,23.70,23.12,23.12,24.37,23.31,24.56
15/8/17,18:30,23.69,23.12,23.06,24.31,23.31,24.62
15/8/17,18:35,23.71,23.12,23.12,24.37,23.31,24.62
15/8/17,18:40,23.66,23.12,23.06,24.31,23.25,24.56
15/8/17,18:45,23.72,23.12,23.06,24.37,23.31,24.75
15/8/17,18:50,23.79,23.19,23.12,24.37,23.37,24.87
15/8/17,18:55,23.72,23.12,23.12,24.37,23.25,24.75
15/8/17,19:00,23.69,23.12,23.06,24.37,23.25,24.62
15/8/17,19:05,23.69,23.12,23.06,24.31,23.25,24.69
15/8/17,19:10,23.65,23.06,23.06,24.31,23.25,24.56
15/8/17,19:15,23.67,23.06,23.06,24.31,23.25,24.69
15/8/17,19:20,23.65,23.06,23.06,24.31,23.25,24.56
15/8/17,19:25,23.77,23.19,23.12,24.37,23.31,24.87
15/8/17,19:30,23.70,23.12,23.06,24.37,23.25,24.69
15/8/17,19:35,23.70,23.12,23.06,24.31,23.25,24.75
15/8/17,19:40,23.69,23.06,23.06,24.31,23.25,24.75
15/8/17,19:45,23.67,23.06,23.06,24.31,23.25,24.69
15/8/17,19:50,23.66,23.06,23.00,24.31,23.19,24.75
15/8/17,19:55,23.56,23.00,22.94,24.31,23.00,24.56
15/8/17,20:00,23.51,22.87,22.87,24.25,22.94,24.62
15/8/17,20:05,23.44,22.81,22.81,24.19,22.87,24.50
15/8/17,20:10,23.39,22.75,22.81,24.19,22.81,24.37
15/8/17,20:15,23.36,22.62,22.81,24.25,22.75,24.37
15/8/17,20:20,23.32,22.69,22.75,24.19,22.69,24.31
15/8/17,20:25,23.29,22.56,22.75,24.12,22.69,24.31
15/8/17,20:30,23.24,22.56,22.69,24.12,22.62,24.19
15/8/17,20:35,23.20,22.50,22.69,24.06,22.56,24.19
15/8/17,20:40,23.17,22.44,22.62,24.06,22.56,24.19
15/8/17,20:45,23.15,22.44,22.62,24.06,22.50,24.12
15/8/17,20:50,23.11,22.44,22.56,24.00,22.50,24.06
15/8/17,20:55,23.07,22.37,22.56,23.94,22.44,24.06
15/8/17,21:00,23.05,22.31,22.50,23.94,22.44,24.06
