Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
17/8/21,8:15,21.61,21.31,21.25,22.12,21.25,22.12
17/8/21,8:20,21.70,21.37,21.37,22.19,21.31,22.25
17/8/21,8:25,21.79,21.44,21.56,22.25,21.37,22.31
17/8/21,8:30,21.81,21.44,21.62,22.31,21.37,22.31
17/8/21,8:35,22.04,21.69,21.87,22.50,21.56,22.56
17/8/21,8:40,21.97,21.62,21.75,22.56,21.44,22.50
17/8/21,8:45,21.92,21.56,21.75,22.56,21.31,22.44
17/8/21,8:50,21.95,21.62,21.69,22.50,21.44,22.50
17/8/21,8:55,22.00,21.69,21.81,22.56,21.37,22.56
17/8/21,9:00,22.01,21.69,21.75,22.62,21.44,22.56
17/8/21,9:05,22.04,21.69,21.94,22.62,21.44,22.50
17/8/21,9:10,22.16,21.81,22.06,22.69,21.56,22.69
17/8/21,9:15,22.20,21.87,22.06,22.75,21.62,22.69
17/8/21,9:20,22.31,21.94,22.12,22.81,21.81,22.87
17/8/21,9:25,22.29,22.00,22.12,22.81,21.75,22.75
17/8/21,9:30,22.36,22.06,22.19,22.87,21.81,22.87
17/8/21,9:35,22.40,22.06,22.25,22.87,21.87,22.94
17/8/21,9:40,22.41,22.06,22.25,22.94,21.81,23.00
17/8/21,9:45,22.39,22.06,22.25,22.94,21.75,22.94
17/8/21,9:50,22.36,22.06,22.12,22.94,21.75,22.94
17/8/21,9:55,22.40,22.06,22.25,22.94,21.81,22.94
17/8/21,10:00,22.36,22.00,22.12,23.00,21.75,22.94
17/8/21,10:05,22.36,22.00,22.12,23.00,21.75,22.94
17/8/21,10:10,22.41,22.06,22.19,23.00,21.81,23.00
17/8/21,10:15,22.46,22.12,22.25,23.06,21.81,23.06
17/8/21,10:20,22.44,22.12,22.19,23.06,21.81,23.00
17/8/21,10:25,22.47,22.12,22.25,23.12,21.87,23.00
17/8/21,10:30,22.54,22.19,22.31,23.12,22.00,23.06
17/8/21,10:35,22.56,22.19,22.31,23.19,22.00,23.12
17/8/21,10:40,22.61,22.25,22.37,23.19,22.06,23.19
17/8/21,10:45,22.64,22.25,22.44,23.19,22.12,23.19
17/8/21,10:50,22.60,22.25,22.31,23.25,22.06,23.12
17/8/21,10:55,22.64,22.31,22.37,23.25,22.06,23.19
17/8/21,11:00,22.55,22.25,22.25,23.19,22.00,23.06
17/8/21,11:05,22.55,22.19,22.25,23.25,21.94,23.12
17/8/21,11:10,22.56,22.25,22.25,23.25,22.00,23.06
17/8/21,11:15,22.52,22.12,22.25,23.25,21.94,23.06
17/8/21,11:20,22.60,22.25,22.31,23.25,22.06,23.12
17/8/21,11:25,22.74,22.37,22.50,23.25,22.25,23.31
17/8/21,11:30,22.76,22.37,22.56,23.31,22.25,23.31
17/8/21,11:35,22.75,22.44,22.50,23.37,22.19,23.25
17/8/21,11:40,22.81,22.44,22.62,23.37,22.31,23.31
17/8/21,11:45,22.79,22.44,22.56,23.37,22.25,23.31
17/8/21,11:50,22.75,22.44,22.50,23.37,22.19,23.25
17/8/21,11:55,22.85,22.44,22.62,23.37,22.37,23.44
17/8/21,12:00,22.89,22.50,22.69,23.44,22.31,23.50
17/8/21,12:05,22.95,22.56,22.75,23.44,22.44,23.56
17/8/21,12:10,22.90,22.56,22.62,23.50,22.37,23.44
17/8/21,12:15,23.01,22.62,22.75,23.50,22.50,23.69
17/8/21,12:20,22.95,22.56,22.69,23.56,22.37,23.56
17/8/21,12:25,23.01,22.62,22.75,23.56,22.56,23.56
17/8/21,12:30,23.15,22.75,22.87,23.62,22.69,23.81
17/8/21,12:35,23.05,22.69,22.75,23.62,22.50,23.69
17/8/21,12:40,23.02,22.62,22.75,23.62,22.50,23.62
17/8/21,12:45,23.11,22.75,22.81,23.62,22.62,23.75
17/8/21,12:50,23.05,22.69,22.75,23.62,22.56,23.62
17/8/21,12:55,23.07,22.75,22.81,23.62,22.56,23.62
17/8/21,13:00,23.17,22.81,22.94,23.69,22.69,23.75
17/8/21,13:05,23.29,22.94,23.06,23.75,22.81,23.87
17/8/21,13:10,23.36,23.00,23.19,23.81,22.87,23.94
17/8/21,13:15,23.49,23.12,23.31,23.87,23.06,24.06
17/8/21,13:20,23.56,23.19,23.37,24.00,23.12,24.12
17/8/21,13:25,23.62,23.31,23.44,24.06,23.19,24.12
17/8/21,13:30,23.64,23.25,23.44,24.12,23.19,24.19
17/8/21,13:35,23.44,23.12,23.19,24.06,22.87,23.94
17/8/21,13:40,23.57,23.19,23.37,24.06,23.12,24.12
17/8/21,13:45,23.50,23.12,23.25,24.06,22.94,24.12
17/8/21,13:50,23.57,23.19,23.31,24.06,23.19,24.12
17/8/21,13:55,23.57,23.19,23.31,24.12,23.12,24.12
17/8/21,14:00,23.70,23.31,23.44,24.19,23.31,24.25
17/8/21,14:05,23.76,23.37,23.50,24.25,23.37,24.31
17/8/21,14:10,23.65,23.31,23.37,24.25,23.12,24.19
17/8/21,14:15,23.66,23.31,23.37,24.31,23.12,24.19
17/8/21,14:20,23.56,23.25,23.25,24.25,22.94,24.12
17/8/21,14:25,23.87,23.50,23.62,24.31,23.56,24.37
17/8/21,14:30,23.85,23.50,23.56,24.37,23.44,24.37
17/8/21,14:35,23.84,23.50,23.56,24.44,23.31,24.37
17/8/21,14:40,23.80,23.44,23.50,24.44,23.31,24.31
17/8/21,14:45,23.82,23.50,23.50,24.44,23.31,24.37
17/8/21,14:50,23.85,23.56,23.50,24.50,23.31,24.37
17/8/21,14:55,23.85,23.56,23.50,24.50,23.25,24.44
17/8/21,15:00,23.87,23.56,23.56,24.50,23.31,24.44
17/8/21,15:05,23.96,23.62,23.69,24.56,23.44,24.50
17/8/21,15:10,24.00,23.69,23.75,24.56,23.44,24.56
17/8/21,15:15,24.06,23.75,23.81,24.56,23.56,24.62
17/8/21,15:20,24.11,23.81,23.87,24.62,23.56,24.69
17/8/21,15:25,24.19,23.87,23.87,24.69,23.75,24.75
17/8/21,15:30,24.09,23.75,23.81,24.69,23.56,24.62
17/8/21,15:35,23.96,23.56,23.62,24.62,23.44,24.56
17/8/21,15:40,24.06,23.75,23.62,24.62,23.56,24.75
17/8/21,15:45,23.99,23.56,23.62,24.62,23.50,24.62
17/8/21,15:50,23.85,23.44,23.50,24.56,23.37,24.37
17/8/21,15:55,23.80,23.31,23.44,24.50,23.37,24.37
17/8/21,16:00,23.91,23.50,23.62,24.56,23.44,24.44
17/8/21,16:05,23.66,23.19,23.44,24.44,23.19,24.06
17/8/21,16:10,23.74,23.25,23.44,24.50,23.37,24.12
17/8/21,16:15,24.01,23.69,23.56,24.56,23.62,24.62
