Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18
17/9/19,0:00,19.56,19.44,19.69,19.62,19.62,19.56,19.69,19.50,19.31,19.69,19.56,19.62,19.62,19.56,19.50,19.37,19.50,19.44,19.81
17/9/19,0:05,19.58,19.50,19.69,19.62,19.69,19.56,19.69,19.50,19.37,19.75,19.56,19.69,19.62,19.56,19.50,19.44,19.50,19.44,19.81
17/9/19,0:10,19.60,19.50,19.69,19.62,19.69,19.56,19.75,19.50,19.37,19.75,19.62,19.69,19.62,19.56,19.56,19.44,19.50,19.50,19.87
17/9/19,0:15,19.61,19.50,19.69,19.69,19.69,19.62,19.75,19.50,19.44,19.75,19.62,19.69,19.62,19.56,19.56,19.44,19.50,19.50,19.87
17/9/19,0:20,19.62,19.50,19.69,19.69,19.69,19.62,19.75,19.50,19.44,19.81,19.62,19.75,19.62,19.56,19.56,19.44,19.50,19.50,19.94
17/9/19,0:25,19.64,19.56,19.75,19.69,19.75,19.62,19.75,19.56,19.44,19.81,19.62,19.75,19.69,19.56,19.56,19.44,19.56,19.50,19.87
17/9/19,0:30,19.66,19.56,19.75,19.69,19.75,19.62,19.81,19.56,19.44,19.81,19.69,19.75,19.69,19.62,19.56,19.50,19.56,19.50,19.94
17/9/19,0:35,19.66,19.56,19.75,19.69,19.75,19.62,19.81,19.56,19.50,19.81,19.69,19.75,19.69,19.62,19.56,19.50,19.56,19.56,19.94
17/9/19,0:40,19.67,19.56,19.75,19.69,19.75,19.69,19.81,19.56,19.50,19.81,19.69,19.75,19.69,19.62,19.56,19.50,19.56,19.56,19.94
17/9/19,0:45,19.67,19.56,19.75,19.69,19.75,19.69,19.81,19.56,19.44,19.81,19.69,19.75,19.69,19.62,19.62,19.50,19.56,19.56,19.94
17/9/19,0:50,19.65,19.56,19.75,19.69,19.75,19.62,19.81,19.56,19.37,19.81,19.69,19.69,19.69,19.62,19.56,19.50,19.56,19.56,19.87
17/9/19,0:55,19.64,19.56,19.75,19.69,19.75,19.62,19.81,19.56,19.37,19.81,19.69,19.62,19.69,19.62,19.56,19.50,19.56,19.56,19.81
17/9/19,1:00,19.62,19.56,19.75,19.69,19.69,19.62,19.81,19.56,19.31,19.75,19.69,19.62,19.69,19.56,19.56,19.50,19.56,19.50,19.81
17/9/19,1:05,19.61,19.50,19.75,19.62,19.69,19.62,19.75,19.56,19.31,19.75,19.62,19.62,19.69,19.56,19.56,19.50,19.56,19.50,19.75
17/9/19,1:10,19.59,19.50,19.69,19.62,19.69,19.56,19.75,19.56,19.25,19.75,19.62,19.62,19.69,19.56,19.56,19.44,19.56,19.50,19.75
17/9/19,1:15,19.59,19.50,19.69,19.62,19.69,19.56,19.75,19.56,19.25,19.75,19.62,19.62,19.69,19.56,19.56,19.44,19.56,19.50,19.75
