Date,Time,Average,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
17/8/17,18:30,22.55,22.31,22.25,23.37,21.94,22.87
17/8/17,18:35,22.52,22.56,22.25,23.25,21.81,22.75
17/8/17,18:40,22.46,22.44,22.19,23.25,21.75,22.69
17/8/17,18:45,22.46,22.50,22.19,23.25,21.69,22.69
17/8/17,18:50,22.39,22.31,22.19,23.19,21.62,22.62
17/8/17,18:55,22.34,22.25,22.12,23.19,21.56,22.56
17/8/17,19:00,22.24,22.06,22.25,23.12,21.37,22.37
17/8/17,19:05,22.17,22.06,22.19,23.06,21.31,22.25
17/8/17,19:10,22.11,22.12,22.06,22.94,21.25,22.19
17/8/17,19:15,22.09,22.12,22.06,22.94,21.19,22.12
17/8/17,19:20,22.04,22.06,21.94,22.87,21.19,22.12
17/8/17,19:25,22.06,22.06,21.81,22.87,21.31,22.25
17/8/17,19:30,22.06,21.94,21.94,22.87,21.31,22.25
17/8/17,19:35,22.04,21.87,21.87,22.87,21.31,22.25
17/8/17,19:40,22.00,21.81,21.87,22.81,21.31,22.19
17/8/17,19:45,21.96,21.87,21.75,22.75,21.25,22.19
17/8/17,19:50,21.99,21.87,21.75,22.75,21.31,22.25
17/8/17,19:55,22.00,21.87,21.81,22.75,21.31,22.25
17/8/17,20:00,22.00,21.94,21.75,22.75,21.31,22.25
17/8/17,20:05,21.99,21.87,21.69,22.81,21.31,22.25
17/8/17,20:10,21.92,21.75,21.94,22.81,21.06,22.06
17/8/17,20:15,21.82,21.62,21.87,22.75,20.94,21.94
17/8/17,20:20,21.81,21.56,21.81,22.75,21.00,21.94
17/8/17,20:25,21.80,21.56,21.50,22.75,21.12,22.06
17/8/17,20:30,21.81,21.75,21.69,22.69,21.00,21.94
17/8/17,20:35,21.81,21.75,21.69,22.69,21.00,21.94
17/8/17,20:40,21.77,21.75,21.62,22.62,20.94,21.94
17/8/17,20:45,21.75,21.62,21.69,22.62,20.94,21.87
17/8/17,20:50,21.80,21.62,21.50,22.69,21.12,22.06
17/8/17,20:55,21.84,21.62,21.56,22.69,21.19,22.12
17/8/17,21:00,21.85,21.62,21.50,22.69,21.25,22.19
17/8/17,21:05,21.86,21.62,21.56,22.69,21.25,22.19
17/8/17,21:10,21.87,21.62,21.56,22.69,21.31,22.19
17/8/17,21:15,21.86,21.62,21.56,22.69,21.25,22.19
17/8/17,21:20,21.84,21.62,21.56,22.69,21.19,22.12
17/8/17,21:25,21.85,21.62,21.50,22.69,21.25,22.19
17/8/17,21:30,21.84,21.56,21.50,22.69,21.25,22.19
17/8/17,21:35,21.81,21.56,21.56,22.62,21.19,22.12
17/8/17,21:40,21.74,21.44,21.37,22.62,21.19,22.06
17/8/17,21:45,21.71,21.37,21.37,22.62,21.12,22.06
17/8/17,21:50,21.70,21.31,21.31,22.62,21.12,22.12
17/8/17,21:55,21.66,21.31,21.31,22.56,21.06,22.06
17/8/17,22:00,21.62,21.25,21.25,22.50,21.06,22.06
17/8/17,22:05,21.61,21.25,21.25,22.50,21.06,22.00
17/8/17,22:10,21.60,21.25,21.19,22.50,21.06,22.00
17/8/17,22:15,21.59,21.25,21.19,22.44,21.06,22.00
17/8/17,22:20,21.57,21.25,21.19,22.37,21.06,22.00
17/8/17,22:25,21.54,21.19,21.19,22.37,21.00,21.94
17/8/17,22:30,21.52,21.19,21.12,22.37,21.00,21.94
17/8/17,22:35,21.49,21.12,21.12,22.31,20.94,21.94
17/8/17,22:40,21.49,21.12,21.06,22.31,21.00,21.94
17/8/17,22:45,21.46,21.12,21.06,22.25,21.00,21.87
17/8/17,22:50,21.45,21.12,21.06,22.25,20.94,21.87
17/8/17,22:55,21.44,21.06,21.06,22.25,20.94,21.87
17/8/17,23:00,21.41,21.06,21.06,22.19,20.94,21.81
17/8/17,23:05,21.40,21.06,21.06,22.19,20.87,21.81
17/8/17,23:10,21.39,21.06,21.00,22.19,20.87,21.81
17/8/17,23:15,21.37,21.00,21.00,22.19,20.87,21.81
17/8/17,23:20,21.36,21.00,21.00,22.12,20.87,21.81
17/8/17,23:25,21.32,21.00,20.94,22.12,20.81,21.75
17/8/17,23:30,21.32,21.00,20.94,22.06,20.87,21.75
17/8/17,23:35,21.30,20.94,20.94,22.06,20.81,21.75
17/8/17,23:40,21.30,20.94,20.94,22.06,20.81,21.75
17/8/17,23:45,21.29,20.94,20.87,22.06,20.81,21.75
17/8/17,23:50,21.26,20.94,20.87,22.00,20.75,21.75
17/8/17,23:55,21.30,21.00,20.87,22.00,20.87,21.75
17/8/18,0:00,21.54,21.25,21.19,22.00,21.19,22.06
17/8/18,0:05,21.71,21.37,21.31,22.12,21.44,22.31
17/8/18,0:10,21.89,21.56,21.50,22.19,21.69,22.50
17/8/18,0:15,22.01,21.69,21.62,22.31,21.81,22.62
17/8/18,0:20,22.16,21.81,21.75,22.50,21.94,22.81
17/8/18,0:25,22.19,21.81,21.81,22.56,21.94,22.81
17/8/18,0:30,22.19,21.87,21.75,22.69,21.87,22.75
17/8/18,0:35,22.27,21.94,21.87,22.81,21.94,22.81
17/8/18,0:40,22.31,22.00,21.87,22.87,21.94,22.87
17/8/18,0:45,22.39,22.06,22.00,23.00,22.00,22.87
17/8/18,0:50,22.40,22.06,22.00,23.06,22.00,22.87
17/8/18,0:55,22.40,22.12,22.00,23.06,21.94,22.87
17/8/18,1:00,22.35,22.06,21.87,23.12,21.87,22.81
17/8/18,1:05,22.34,22.00,21.87,23.19,21.87,22.75
17/8/18,1:10,22.21,21.87,21.75,23.12,21.69,22.62
17/8/18,1:15,22.17,21.81,21.75,23.12,21.62,22.56
17/8/18,1:20,22.12,21.81,21.69,23.06,21.56,22.50
17/8/18,1:25,22.05,21.69,21.62,23.00,21.50,22.44
17/8/18,1:30,21.99,21.69,21.56,22.94,21.44,22.31
17/8/18,1:35,22.00,21.69,21.56,22.94,21.44,22.37
17/8/18,1:40,21.91,21.62,21.50,22.87,21.31,22.25
17/8/18,1:45,21.92,21.62,21.50,22.87,21.37,22.25
17/8/18,1:50,21.86,21.56,21.44,22.81,21.31,22.19
17/8/18,1:55,21.91,21.56,21.50,22.81,21.37,22.31
17/8/18,2:00,21.94,21.56,21.56,22.81,21.37,22.37
17/8/18,2:05,21.97,21.62,21.50,22.81,21.50,22.44
17/8/18,2:10,21.95,21.56,21.50,22.81,21.44,22.44
17/8/18,2:15,21.94,21.56,21.50,22.81,21.44,22.37
17/8/18,2:20,21.89,21.50,21.44,22.75,21.44,22.31
17/8/18,2:25,21.86,21.50,21.44,22.75,21.37,22.25
17/8/18,2:30,21.81,21.44,21.37,22.69,21.31,22.25
17/8/18,2:35,21.77,21.37,21.37,22.69,21.25,22.19
17/8/18,2:40,21.75,21.37,21.31,22.69,21.25,22.12
17/8/18,2:45,21.70,21.31,21.25,22.62,21.19,22.12
17/8/18,2:50,21.67,21.25,21.25,22.62,21.19,22.06
17/8/18,2:55,21.61,21.25,21.19,22.56,21.06,22.00
17/8/18,3:00,21.65,21.25,21.25,22.56,21.12,22.06
17/8/18,3:05,21.57,21.19,21.12,22.50,21.06,22.00
17/8/18,3:10,21.54,21.19,21.12,22.44,21.00,21.94
17/8/18,3:15,21.50,21.12,21.06,22.37,21.00,21.94
17/8/18,3:20,21.47,21.06,21.06,22.44,20.94,21.87
17/8/18,3:25,21.45,21.06,21.06,22.31,20.94,21.87
17/8/18,3:30,21.42,21.06,21.00,22.31,20.87,21.87
17/8/18,3:35,21.40,21.06,21.00,22.25,20.87,21.81
17/8/18,3:40,21.39,21.00,21.00,22.25,20.87,21.81
17/8/18,3:45,21.34,21.00,20.94,22.19,20.81,21.75
17/8/18,3:50,21.30,20.94,20.94,22.19,20.75,21.69
17/8/18,3:55,21.26,20.94,20.87,22.12,20.69,21.69
17/8/18,4:00,21.25,20.87,20.87,22.12,20.69,21.69
17/8/18,4:05,21.24,20.94,20.87,22.06,20.69,21.62
17/8/18,4:10,21.24,20.94,20.87,22.06,20.69,21.62
17/8/18,4:15,21.19,20.87,20.87,22.00,20.62,21.56
17/8/18,4:20,21.17,20.87,20.81,22.00,20.62,21.56
17/8/18,4:25,21.16,20.81,20.81,22.00,20.62,21.56
17/8/18,4:30,21.15,20.87,20.81,21.94,20.56,21.56
17/8/18,4:35,21.15,20.87,20.87,21.94,20.56,21.50
17/8/18,4:40,21.12,20.81,20.81,21.94,20.56,21.50
17/8/18,4:45,21.11,20.81,20.81,21.87,20.56,21.50
17/8/18,4:50,21.10,20.81,20.81,21.87,20.50,21.50
17/8/18,4:55,21.07,20.81,20.75,21.87,20.50,21.44
17/8/18,5:00,21.05,20.81,20.75,21.81,20.44,21.44
17/8/18,5:05,21.02,20.81,20.75,21.75,20.44,21.37
17/8/18,5:10,21.00,20.75,20.69,21.75,20.44,21.37
17/8/18,5:15,21.00,20.75,20.75,21.75,20.37,21.37
17/8/18,5:20,20.99,20.75,20.75,21.75,20.37,21.31
17/8/18,5:25,20.97,20.75,20.69,21.75,20.37,21.31
17/8/18,5:30,20.96,20.75,20.69,21.69,20.37,21.31
17/8/18,5:35,20.96,20.75,20.69,21.69,20.37,21.31
17/8/18,5:40,20.95,20.75,20.75,21.69,20.31,21.25
17/8/18,5:45,20.92,20.69,20.69,21.69,20.31,21.25
17/8/18,5:50,20.92,20.75,20.69,21.62,20.31,21.25
17/8/18,5:55,20.92,20.75,20.69,21.62,20.31,21.25
17/8/18,6:00,20.90,20.69,20.69,21.62,20.25,21.25
17/8/18,6:05,20.87,20.69,20.69,21.56,20.25,21.19
17/8/18,6:10,20.89,20.69,20.62,21.56,20.31,21.25
17/8/18,6:15,20.90,20.62,20.56,21.62,20.37,21.31
17/8/18,6:20,20.92,20.69,20.56,21.56,20.44,21.37
17/8/18,6:25,20.95,20.69,20.62,21.56,20.50,21.37
17/8/18,6:30,20.95,20.69,20.69,21.56,20.44,21.37
17/8/18,6:35,20.96,20.69,20.69,21.56,20.50,21.37
17/8/18,6:40,20.99,20.75,20.69,21.62,20.50,21.37
17/8/18,6:45,21.00,20.75,20.69,21.62,20.50,21.44
17/8/18,6:50,20.99,20.69,20.69,21.62,20.50,21.44
17/8/18,6:55,20.99,20.69,20.69,21.62,20.50,21.44
17/8/18,7:00,20.97,20.69,20.75,21.62,20.44,21.37
17/8/18,7:05,20.99,20.75,20.75,21.62,20.44,21.37
17/8/18,7:10,20.97,20.69,20.75,21.62,20.44,21.37
17/8/18,7:15,21.00,20.75,20.75,21.62,20.50,21.37
17/8/18,7:20,21.00,20.75,20.75,21.62,20.50,21.37
17/8/18,7:25,21.00,20.75,20.75,21.62,20.50,21.37
17/8/18,7:30,21.01,20.75,20.75,21.62,20.50,21.44
17/8/18,7:35,21.01,20.75,20.75,21.62,20.50,21.44
17/8/18,7:40,21.01,20.75,20.75,21.62,20.50,21.44
17/8/18,7:45,20.99,20.75,20.75,21.62,20.44,21.37
17/8/18,7:50,21.01,20.81,20.75,21.62,20.50,21.37
17/8/18,7:55,21.07,20.81,20.81,21.69,20.56,21.50
17/8/18,8:00,21.06,20.81,20.75,21.69,20.56,21.50
17/8/18,8:05,21.06,20.81,20.75,21.69,20.56,21.50
17/8/18,8:10,21.09,20.81,20.75,21.69,20.62,21.56
17/8/18,8:15,21.07,20.87,20.75,21.69,20.56,21.50
17/8/18,8:20,21.12,20.87,20.87,21.69,20.62,21.56
17/8/18,8:25,21.24,21.00,20.94,21.75,20.81,21.69
17/8/18,8:30,21.35,21.12,21.12,21.81,20.87,21.81
17/8/18,8:35,21.46,21.25,21.19,21.94,21.00,21.94
17/8/18,8:40,21.55,21.31,21.25,22.12,21.06,22.00
17/8/18,8:45,21.65,21.44,21.44,22.19,21.12,22.06
17/8/18,8:50,21.72,21.56,21.50,22.25,21.19,22.12
17/8/18,8:55,21.85,21.62,21.56,22.44,21.31,22.31
17/8/18,9:00,21.92,21.75,21.69,22.50,21.37,22.31
17/8/18,9:05,21.87,21.75,21.56,22.56,21.25,22.25
17/8/18,9:10,21.90,21.75,21.62,22.62,21.25,22.25
17/8/18,9:15,21.92,21.75,21.69,22.62,21.31,22.25
17/8/18,9:20,21.96,21.75,21.69,22.62,21.37,22.37
17/8/18,9:25,22.05,21.87,21.81,22.69,21.44,22.44
17/8/18,9:30,22.07,21.81,21.87,22.75,21.50,22.44
17/8/18,9:35,22.16,21.94,21.94,22.81,21.56,22.56
17/8/18,9:40,22.14,22.00,21.87,22.81,21.50,22.50
17/8/18,9:45,22.22,22.06,22.00,22.87,21.62,22.56
17/8/18,9:50,22.27,22.12,22.06,22.94,21.62,22.62
17/8/18,9:55,22.31,22.12,22.06,23.00,21.69,22.69
17/8/18,10:00,22.30,22.06,22.06,23.00,21.69,22.69
17/8/18,10:05,22.21,22.00,22.00,23.00,21.56,22.50
17/8/18,10:10,22.20,21.94,22.00,23.00,21.56,22.50
17/8/18,10:15,22.26,22.00,22.06,23.00,21.62,22.62
17/8/18,10:20,22.31,22.06,22.06,23.00,21.75,22.69
17/8/18,10:25,22.35,22.12,22.06,23.06,21.75,22.75
17/8/18,10:30,22.41,22.25,22.19,23.06,21.81,22.75
17/8/18,10:35,22.40,22.19,22.19,23.12,21.75,22.75
17/8/18,10:40,22.32,22.12,22.12,23.12,21.62,22.62
17/8/18,10:45,22.30,22.00,22.12,23.12,21.62,22.62
17/8/18,10:50,22.24,22.00,22.00,23.06,21.56,22.56
17/8/18,10:55,22.21,22.00,22.00,23.00,21.56,22.50
17/8/18,11:00,22.19,21.94,22.00,22.94,21.56,22.50
17/8/18,11:05,22.17,21.94,21.94,22.94,21.56,22.50
17/8/18,11:10,22.24,22.00,22.00,22.94,21.62,22.62
17/8/18,11:15,22.30,22.06,22.06,22.94,21.75,22.69
17/8/18,11:20,22.42,22.25,22.19,23.00,21.87,22.81
17/8/18,11:25,22.42,22.19,22.12,23.06,21.94,22.81
17/8/18,11:30,22.39,22.19,22.19,23.06,21.75,22.75
17/8/18,11:35,22.49,22.25,22.25,23.12,21.94,22.87
17/8/18,11:40,22.56,22.37,22.31,23.19,22.00,22.94
17/8/18,11:45,22.62,22.37,22.31,23.25,22.12,23.06
